PortfolioManager,SecurityType,Elbow,Currency,Net Amount,Quantity
S598958A,CB,0,USD,4017330.86,12169.00
S598958A,CB,0,USD,5311067.83,96940.00
S598958A,CB,0,USD,1919046.77,3941.00
S598958A,CB,0,USD,2537779.87,11135.00
S598958A,CB,0,USD,1656892.03,18328.00
S598958A,CB,0,USD,1362069.54,28742.00
S598958A,CB,0,USD,2095536.81,16869.00
S598958A,CB,0,USD,1726013.55,6543.00
S598958A,CB,0,USD,1384522.19,7556.00
S598958A,CB,0,USD,2558765.18,14457.00
S598958A,CB,0,USD,1960504.75,36197.00
S598958A,CB,0,USD,1147344.80,5594.00
S598958A,CB,0,USD,2155507.89,1052.00
S598958A,CB,0,USD,3689066.82,58932.00
S598958A,CB,0,USD,7511793.45,106369.00
S598958A,CB,0,USD,1678820.29,8094.00
S598958A,CB,0,USD,3336831.56,39115.00
S598958A,CB,0,USD,3818070.74,33697.00
S598958A,CB,0,USD,2137992.49,15451.00
S598958A,CB,0,USD,2551123.28,219558.00
S598958A,CB,0,USD,2504385.90,28706.00
S598958A,CB,0,USD,4229587.03,35663.00
S598958A,CB,0,USD,1857452.18,30486.00
S598958A,CB,0,USD,1160024.56,12418.00
S598958A,CB,0,USD,2806990.01,13504.00
S598958A,CB,0,USD,1360117.33,4741.00
S598958A,CB,0,USD,1238437.20,2143.00
S598958A,CB,0,USD,1412514.37,12688.00
S598958A,CB,0,USD,3237916.35,29519.00
S598958A,CB,0,USD,1699483.64,2905.00
S598958A,CB,0,USD,6854566.95,23817.00
S598958A,CB,0,USD,3602786.28,11017.00
S598958A,CB,0,USD,1474548.05,10453.00
S598958A,CB,0,USD,1490616.61,2964.00
S598958A,CB,0,USD,3231676.92,11106.00
S598958A,CB,0,USD,1828964.52,6799.00
S598958A,CB,0,USD,1560504.60,35041.00
S598958A,CB,0,USD,1171492.99,2065.00
S598958A,CB,0,USD,2620400.00,29690.00
S598958A,CB,0,USD,1851768.40,8011.00
S598958A,CB,0,USD,1380486.20,7916.00
S598958A,CB,0,USD,5391563.45,139126.00
S598958A,CB,0,USD,1242274.38,11171.00
S598958A,CB,0,USD,5131110.77,114129.00
S598958A,CB,0,USD,1160797.52,31609.00
S598958A,CB,0,USD,3774038.79,18932.00
S598958A,CB,0,USD,1188112.30,6305.00
S598958A,CB,0,USD,3088802.66,20397.00
S598958A,CB,0,USD,5153698.39,96756.00
S598958A,CB,0,USD,2027109.22,17617.00
S598958A,CB,0,USD,3680373.76,22299.00
S598958A,CB,0,USD,1222528.09,5886.00
S598958A,CB,0,USD,3617912.47,15385.00
S598958A,CB,0,USD,1406943.32,19550.00
S598958A,CB,0,USD,3204104.08,17964.00
S598958A,CB,0,USD,1577162.41,30926.00
S598958A,CB,0,USD,3168649.09,9972.00
S598958A,CB,0,USD,1833977.31,9009.00
S598958A,CB,0,USD,1570243.52,8253.00
S598958A,CB,0,USD,9528383.19,66165.00
S598958A,CB,0,USD,6687378.24,22317.00
S598958A,CB,0,USD,1268452.71,5541.00
S598958A,CB,0,USD,7685191.16,62694.00
S598958A,CB,0,USD,1827962.17,27585.00
S598958A,CB,0,USD,2067285.75,13894.00
S598958A,CB,0,USD,1510551.91,27831.00
S598958A,CB,0,USD,2315775.07,46964.00
S598958A,CB,0,USD,5113894.96,106649.00
S598958A,CB,0,USD,4443440.81,13440.00
S598958A,CB,0,USD,1301775.05,13999.00
S598958A,CB,0,USD,1339953.47,27997.00
S598958A,CB,0,USD,1695776.93,20693.00
S598958A,CB,0,USD,1895475.79,9387.00
S598958A,CB,0,USD,1745072.32,11016.00
S598958A,CB,0,USD,3003630.26,23500.00
S598958A,CB,0,USD,2771051.99,21241.00
S598958A,CB,0,USD,1650596.74,26365.00
S598958A,CB,0,USD,1220252.97,3329.00
S598958A,CB,0,USD,3811933.42,44432.00
S598958A,CB,0,USD,1769521.06,11394.00
S598958A,CB,0,USD,1169765.98,18624.00
S598958A,CB,0,USD,1464108.72,21546.00
S598958A,CB,0,USD,2063091.64,31806.00
S598958A,CB,0,USD,2394409.01,32706.00
S598958A,CB,0,USD,1320071.14,4536.00
S598958A,CB,0,USD,1314373.01,7353.00
S598958A,CB,0,USD,1455060.33,3940.00
S598958A,CB,0,USD,3548709.78,14937.00
S598958A,CB,0,USD,4784101.94,35056.00
S598958A,CB,0,USD,3250571.42,10080.00
S598958A,CB,0,USD,1882094.23,6374.00
S598958A,CB,0,USD,3314327.64,15965.00
S598958A,CB,0,USD,4183529.93,746941.00
S598958A,CB,0,USD,2458329.97,16071.00
S598958A,CB,0,USD,5979845.27,27423.00
S598958A,CB,0,USD,7110256.61,183645.00
S598958A,CB,0,USD,1414119.05,23223.00
S598958A,CB,0,USD,2297464.67,19269.00
S598958A,CB,0,USD,1894229.07,33714.00
S598958A,CB,0,USD,4374726.91,54885.00
S598958A,CB,0,USD,2976047.49,22265.00
S598958A,CB,0,USD,2936728.79,12287.00
S598958A,CB,0,USD,5828059.43,64005.00
S598958A,CB,0,USD,8136880.74,43035.00
S598958A,CB,0,USD,1199684.19,5243.00
S598958A,CB,0,USD,1590172.61,12740.00
S598958A,CB,0,USD,1163216.63,15314.00
S598958A,CB,0,USD,1253047.82,14626.00
S598958A,CB,0,USD,2524252.38,6240.00
S598958A,CB,0,USD,1654772.62,14358.00
S598958A,CB,0,USD,1585976.15,11974.00
S598958A,CB,0,USD,3272906.10,37177.00
S598958A,CB,0,USD,2913507.69,54464.00
S598958A,CB,0,USD,3175781.79,31325.00
S598958A,CB,0,USD,1410438.93,34803.00
S598958A,CB,0,USD,1191213.41,3695.00
S598958A,CB,0,USD,7118473.40,203520.00
S598958A,CB,0,USD,1697513.96,6144.00
S598958A,CB,0,USD,6293159.70,103972.00
S598958A,CB,0,USD,1189290.11,11709.00
S598958A,CB,0,USD,1151719.97,5557.00
S598958A,CB,0,USD,1394864.83,6464.00
S598958A,CB,0,USD,3136951.26,17452.00
S598958A,CB,0,USD,5797517.89,47536.00
S598958A,CB,0,USD,1269878.12,6556.00
S598958A,CB,0,USD,1587868.82,7000.00
S598958A,CB,0,USD,6582187.35,109358.00
S598958A,CB,0,USD,1842734.21,10878.00
S598958A,CB,0,USD,6641858.58,45312.00
S598958A,CB,0,USD,1720901.70,37989.00
S598958A,CB,0,USD,2084428.34,35731.00
S598958A,CB,0,USD,1395252.46,15882.00
S598958A,CB,0,USD,1166479.03,8618.00
S598958A,CB,0,USD,3482492.67,131723.00
S598958A,CB,0,USD,6240981.00,137770.00
S598958A,CB,0,USD,1562375.25,22500.00
S598958A,CB,0,USD,2407579.38,31538.00
S598958A,CB,0,USD,1390000.00,25000.00
S598958A,CB,0,USD,1132497.64,182956.00
S598958A,CB,0,USD,3007495.75,365394.00
S598958A,CB,0,USD,1123800.00,20000.00
S598958A,CB,0,USD,3702273.52,67577.00
S598958A,CB,0,USD,5818951.52,83800.00
S598958A,CB,0,USD,1392750.00,25000.00
S598958A,CB,0,USD,1401500.00,25000.00
S598958A,CB,0,USD,5957152.68,1489319.00
S598958A,CB,0,USD,1604114.79,401037.00
S598958A,CB,0,USD,5867966.16,233226.00
S598958A,CB,0,USD,2733807.26,176831.00
S598958A,CB,0,USD,1580123.48,62803.00
S598958A,CB,0,USD,7888159.68,112900.00
S598958A,CB,0,USD,1380500.00,25000.00
S598958A,CB,0,USD,1198890.00,21000.00
S598958A,CB,0,USD,1258964.13,13995.00
S598958A,CB,0,USD,2457385.50,10749.00
S598958A,CB,0,USD,1570615.16,4879.00
S598958A,CB,0,USD,2928572.55,13226.00
S598958A,CB,0,USD,1370938.53,22732.00
S598958A,CB,0,USD,2159001.20,14465.00
S598958A,CB,0,USD,1177615.82,10394.00
S598958A,CB,0,USD,2437317.92,1642.00
S598958A,CB,0,USD,1421833.31,9905.00
S598958A,CB,0,USD,1546260.01,40153.00
S598958A,CB,0,USD,2438234.32,1645.00
S598958A,CB,0,USD,1396213.45,5994.00
S598958A,CB,0,USD,4328783.51,2288.00
S598958A,CB,0,USD,1211423.95,21194.00
S598958A,CB,0,USD,1950464.42,9410.00
S598958A,CB,0,USD,1728016.70,13706.00
S598958A,CB,0,USD,1524059.19,44499.00
S598958A,CB,0,USD,6981114.15,41932.00
S598958A,CB,0,USD,1571375.38,23256.00
S598958A,CB,0,USD,2359174.02,17242.00
S598958A,CB,0,USD,1180002.93,24953.00
S598958A,CB,0,USD,1133453.78,2957.00
S598958A,CB,0,USD,1564174.21,5205.00
