PortfolioManager,SecurityType,Elbow,Currency,Net Amount,Quantity
S598958A,CB,2,USD,226390.58,10565.00
S598958A,CB,2,USD,320065.77,3379.00
S598958A,CB,2,USD,31313.74,6723.00
S598958A,CB,2,USD,129199.49,2855.00
S598958A,CB,2,USD,485.55,195.00
S598958A,CB,2,USD,259503.45,3682.00
S598958A,CB,2,USD,241619.78,2596.00
S598958A,CB,2,USD,253184.68,6638.00
S598958A,CB,2,USD,710805.83,3967.00
S598958A,CB,2,USD,185135.37,10017.00
S598958A,CB,2,USD,167204.78,2255.00
S598958A,CB,2,USD,223173.25,7435.00
S598958A,CB,2,USD,85246.46,5838.00
S598958A,CB,2,USD,442434.63,9858.00
S598958A,CB,2,USD,272351.95,1492.00
S598958A,CB,2,USD,158896.34,8393.00
S598958A,CB,2,USD,1095079.06,9259.00
S598958A,CB,2,USD,87418.64,1905.00
S598958A,CB,2,USD,154937.02,8406.00
S598958A,CB,2,USD,363202.86,5730.00
S598958A,CB,2,USD,281266.82,7411.00
S598958A,CB,2,USD,37242.50,2172.00
S598958A,CB,2,USD,156191.30,7164.00
S598958A,CB,2,USD,331547.02,2601.00
S598958A,CB,2,USD,436640.63,10389.00
S598958A,CB,2,USD,388610.61,3679.00
S598958A,CB,2,USD,91909.49,5350.00
S598958A,CB,2,USD,797244.23,6024.00
S598958A,CB,2,USD,482374.56,4716.00
S598958A,CB,2,USD,288141.76,3801.00
S598958A,CB,2,USD,420498.79,3699.00
S598958A,CB,2,USD,548199.08,9061.00
S598958A,CB,2,USD,247878.10,3992.00
S598958A,CB,2,USD,18160.75,5001.00
S598958A,CB,2,USD,84104.66,4257.00
S598958A,CB,2,USD,291001.65,2940.00
S598958A,CB,2,USD,115068.16,3233.00
S598958A,CB,2,USD,120440.60,1824.00
S598958A,CB,2,USD,146927.54,2129.00
S598958A,CB,2,USD,122126.03,2039.00
S598958A,CB,2,USD,128303.46,1702.00
S598958A,CB,2,USD,53755.80,4062.00
S598958A,CB,2,USD,235161.05,4386.00
S598958A,CB,2,USD,99519.46,6047.00
S598958A,CB,2,USD,773061.09,5945.00
S598958A,CB,2,USD,420081.23,3652.00
S598958A,CB,2,USD,30747.01,11778.00
S598958A,CB,2,USD,283002.15,13303.00
S598958A,CB,2,USD,782508.48,37767.00
S598958A,CB,2,USD,96676.33,20172.00
S598958A,CB,2,USD,11.85,5.00
S598958A,CB,2,USD,174417.85,1586.00
S598958A,CB,2,USD,34515.43,5254.00
S598958A,CB,2,USD,68892.55,2038.00
S598958A,CB,2,USD,253617.35,5804.00
S598958A,CB,2,USD,588939.70,5006.00
S598958A,CB,2,USD,306222.31,4332.00
S598958A,CB,2,USD,534024.69,3780.00
S598958A,CB,2,USD,183523.18,2735.00
S598958A,CB,2,USD,135028.05,14129.00
S598958A,CB,2,USD,305298.35,2892.00
S598958A,CB,2,USD,259251.70,4213.00
S598958A,CB,2,USD,194085.44,2815.00
S598958A,CB,2,USD,232334.78,6436.00
S598958A,CB,2,USD,99729.27,5232.00
S598958A,CB,2,USD,551231.98,366.00
S598958A,CB,2,USD,73638.00,2695.00
S598958A,CB,2,USD,211951.09,2120.00
S598958A,CB,2,USD,172104.67,5842.00
S598958A,CB,2,USD,32516.54,1249.00
S598958A,CB,2,USD,192987.45,10231.00
S598958A,CB,2,USD,525838.09,9371.00
S598958A,CB,2,USD,123225.15,5244.00
S598958A,CB,2,USD,60858.67,1087.00
S598958A,CB,2,USD,719914.90,7930.00
S598958A,CB,2,USD,758864.22,5171.00
S598958A,CB,2,USD,72187.51,4325.00
S598958A,CB,2,USD,289303.30,5814.00
S598958A,CB,2,USD,250679.88,9933.00
S598958A,CB,2,USD,141259.00,3879.00
S598958A,CB,2,USD,198188.60,3089.00
S598958A,CB,2,USD,75461.39,2249.00
S598958A,CB,2,USD,49481.76,6468.00
S598958A,CB,2,USD,61897.97,1916.00
S598958A,CB,2,USD,233509.72,5529.00
S598958A,CB,2,USD,19578.78,4991.00
S598958A,CB,2,USD,80517.09,1896.00
S598958A,CB,2,USD,180354.03,2050.00
S598958A,CB,2,USD,190755.45,14197.00
S598958A,CB,2,USD,22.41,9.00
S598958A,CB,2,USD,423582.05,2382.00
